Smiles,EC50 (nM),values
COc1cc(C2(CO)CCCc3nc(SCc4c(F)cccc4Cl)n(-c4ccc(F)cc4)c32)ccc1Cl,12500.0,0.0
Cc1noc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,5.5,1.0
O=C(c1cnccc1Oc1cccc2ncccc12)N1CCN(C2CC2)c2ccccc21,40.0,1.0
Cc1c(C(=O)O)oc2cc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,63.0,1.0
COc1cccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)c1,1258.93,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(c1ccc(Cl)cc1)C1CC1,3162.28,0.0
CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccc(C(C)C)cc1)CC2,5620.0,0.0
CCc1nnn(-c2ccccc2)c1C(=O)N(C)c1ccc(Cl)cc1,1420.0,0.0
CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccc(SC(F)(F)F)cc1)CC2,48.0,1.0
COc1ccc(C(C)(C)c2cnc(SCCOc3ccc(-n4ccnc4C)cc3)n2-c2ccc(F)cc2)cc1OC,1.48,1.0
CCOC(=O)CN(C)C(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,5000.0,0.0
C[C@H](CCC(=O)[O-])[C@H]1[C@H](O)C[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.[Na+],160000.0,0.0
CN(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)NCCCCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,3.981,1.0
O=C([C@@H]1CCCN1Cc1cc(Cl)ccc1Cl)N1CCSc2ccccc21,3981.07,0.0
O=C([C@@H]1CSCN1Cc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,25.12,1.0
O=C([C@H]1CCCCN1Cc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,1995.26,0.0
O=C([C@@H]1CSCN1Cc1cc(Cl)c(CO)cc1Cl)N1CCN(C2CC2)c2ccccc21,25.12,1.0
O=C(NCCCCCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NC(CO)(CO)CO,31.62,1.0
Fc1ccc(-n2c(SCc3c(F)cccc3Cl)nc3c2C(c2ccc4c(c2)OCCO4)CCC3)cc1,2930.0,0.0
COc1ccc(C2CCCc3nc(SCc4c(F)cccc4Cl)n(-c4ccc(F)cc4)c32)cc1Cl,1510.0,0.0
COc1cc(C2CCCc3nc(SCc4c(F)cccc4OC)n(-c4ccc(F)cc4)c32)ccc1Cl,4810.0,0.0
Cn1c(C(=O)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)cnc1SCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,1.995,1.0
O=C(NCCCCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NC(CO)(CO)CO,10.0,1.0
O=C(CCCCc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.162,1.0
CN(C(=O)[C@@H]1CCCN1Cc1cc(Cl)ccc1Cl)c1ccccc1OC1CCC1,1000.0,0.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCCN(c3cc(N4CCC(C(=O)O)CC4)nc(C(F)(F)F)n3)C2)cc1,10.0,1.0
CN1CCN(c2cc(N3CCCC[C@H]3C(=O)NCCc3ccc(C#N)cc3)nc(C(F)(F)F)n2)CC1,20.0,1.0
CN1CCN(c2cc(C(F)(F)F)nc(N3CCC[C@@H](C(=O)NCCc4ccc(C#N)cc4)C3)n2)CC1,2.0,1.0
O=C(c1ccco1)N(Cc1cnccc1-c1ccccc1F)S(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,32.0,1.0
COc1ccc(-n2c(SCc3c(F)cccc3Cl)nc3c2C(c2ccc(Cl)c(OC)c2)CCC3)cc1,38160.0,0.0
COc1ccc(SCc2cnc(SCc3c(F)cc(S(=O)(=O)/N=C/N(C)C)cc3F)n2-c2ccc(F)cc2)cc1OC,16630.0,0.0
CN1CCN(C(=O)c2cccnc2Oc2cc(Cl)ccc2Cl)c2ccccc21,6.1,1.0
